fips,Population2019,HealthPlanningRegion
51001,"32,316",Eastern
51003,"109,330",Northwest
51005,"14,860",Southwest
51007,"13,145",Central
51009,"31,605",Southwest
51011,"15,911",Southwest
51013,"236,842",Northern
51015,"75,558",Northwest
51017,"4,147",Northwest
51019,"78,997",Southwest
51021,"6,280",Southwest
51023,"33,419",Southwest
51025,"16,231",Central
51027,"21,004",Southwest
51029,"17,148",Central
51031,"54,885",Southwest
51033,"30,725",Northwest
51035,"29,791",Southwest
51036,"6,963",Central
51037,"11,880",Central
51041,"352,802",Central
51043,"14,619",Northwest
51045,"5,131",Southwest
51047,"52,605",Northwest
51049,"9,932",Central
51051,"14,318",Southwest
51053,"28,544",Central
51057,"10,953",Eastern
51059,"1,147,532",Northern
51061,"71,222",Northwest
51063,"15,749",Southwest
51065,"27,270",Northwest
51067,"56,042",Southwest
51069,"89,313",Northwest
51071,"16,720",Southwest
51073,"37,348",Eastern
51075,"23,753",Central
51077,"15,550",Southwest
51079,"19,819",Northwest
51081,"11,336",Central
51083,"33,911",Central
51085,"107,766",Central
51087,"330,818",Central
51089,"50,557",Southwest
51091,"2,190",Northwest
51093,"37,109",Eastern
51095,"76,523",Eastern
51097,"7,025",Eastern
51099,"26,836",Northwest
51101,"17,148",Eastern
51103,"10,603",Eastern
51105,"23,423",Southwest
51107,"413,538",Northern
51109,"37,591",Northwest
51111,"12,196",Central
51113,"13,261",Northwest
51115,"8,834",Eastern
51117,"30,587",Central
51119,"10,582",Eastern
51121,"98,535",Southwest
51125,"14,930",Northwest
51127,"23,091",Central
51131,"11,710",Eastern
51133,"12,095",Eastern
51135,"15,232",Central
51137,"37,051",Northwest
51139,"23,902",Northwest
51141,"17,608",Southwest
51143,"60,354",Southwest
51145,"29,652",Central
51147,"22,802",Central
51149,"38,353",Central
51153,"470,335",Northern
51155,"34,027",Southwest
51157,"7,370",Northwest
51159,"9,023",Eastern
51161,"94,186",Southwest
51163,"22,573",Northwest
51165,"81,948",Northwest
51167,"26,586",Southwest
51169,"21,566",Southwest
51171,"43,616",Northwest
51173,"30,104",Southwest
51175,"17,631",Eastern
51177,"136,215",Northwest
51179,"152,882",Northwest
51181,"6,422",Central
51183,"11,159",Central
51185,"40,595",Southwest
51187,"40,164",Northwest
51191,"53,740",Southwest
51193,"18,015",Eastern
51195,"37,383",Southwest
51197,"28,684",Southwest
51199,"68,280",Eastern
51510,"159,428",Northern
51520,"16,762",Southwest
51530,"6,478",Northwest
51540,"47,266",Northwest
51550,"244,835",Eastern
51570,"17,370",Central
51580,"5,538",Southwest
51590,"40,044",Southwest
51595,"5,346",Central
51600,"24,019",Northern
51610,"14,617",Northern
51620,"7,967",Eastern
51630,"29,036",Northwest
51640,"6,347",Southwest
51650,"134,510",Eastern
51660,"53,016",Northwest
51670,"22,529",Central
51678,"7,446",Northwest
51680,"82,168",Southwest
51683,"41,085",Northern
51685,"17,478",Northern
51690,"12,554",Southwest
51700,"179,225",Eastern
51710,"242,742",Eastern
51720,"3,981",Southwest
51730,"31,346",Central
51735,"12,271",Eastern
51740,"94,398",Eastern
51750,"18,249",Southwest
51760,"230,436",Central
51770,"99,143",Southwest
51775,"25,301",Southwest
51790,"24,932",Northwest
51800,"92,108",Eastern
51810,"449,974",Eastern
51820,"22,630",Northwest
51830,"14,954",Eastern
51840,"28,078",Northwest
